Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
M,61.0,3104.0,Low,Working,High skill tech staff,Semi-Urban,159180.09,669.51,2.0,842.99,0,Inactive,Rural,1,278885.16,119385.07,True
F,31.0,0.0,Low,Working,Core staff,Rural,99992.27,702.57,2.0,745.91,0,Active,Rural,1,145120.22,64994.98,True
M,43.0,5351.7775,Low,Commercial associate,Laborers,Semi-Urban,58236.85,435.07,2.0,718.89,0,Inactive,Semi-Urban,1,72025.12,40765.8,True
F,33.0,3175.91,Low,Commercial associate,Core staff,Urban,185900.53,699.92,3.0,681.16,1,Unpossessed,Semi-Urban,1,210100.47,130130.37,True
F,58.0,1633.88,Low,Working,Not available,Semi-Urban,48546.56,238.55,2.0,774.67,0,Inactive,Urban,1,84149.5,33982.59,True
F,25.0,1224.99,Low,Working,Core staff,Rural,84606.2,427.1,4.0,705.62,0,Unpossessed,Rural,1,136029.3,59224.34,True
F,43.0,0.0,Low,Working,Core staff,Semi-Urban,43232.4,203.58,2.0,725.78,0,Unpossessed,Urban,1,70538.77,28101.06,True
M,65.0,1047.12,High,Pensioner,Retired,Semi-Urban,40742.95,169.31,2.0,821.87,0,Unpossessed,Urban,0,56784.27,30557.21,True
F,28.0,1972.0,Low,Working,Core staff,Rural,97666.72,356.08,2.0,796.03,0,Inactive,Rural,1,116536.87,68366.7,True
M,65.0,3865.02,High,Pensioner,Retired,Semi-Urban,217597.12,658.92,2.0,797.55,1,Inactive,Urban,1,263176.92,163197.84,True
F,18.0,0.0,Low,Working,Accountants,Semi-Urban,27469.27,138.28,4.0,812.36,0,Inactive,Rural,1,50068.09,21975.42,True
F,43.0,1794.1,Low,Working,Not available,Rural,33807.36,240.32,4.0,723.8,0,Active,Rural,1,51738.76,21974.78,True
M,54.0,2814.48,Low,Working,Laborers,Urban,100346.63,427.31,3.0,742.45,0,Inactive,Semi-Urban,1,132302.29,65225.31,True
M,24.0,1580.38,Low,Working,Core staff,Semi-Urban,66041.19,325.89,4.0,717.92,0,Active,Semi-Urban,1,100265.3,46228.83,True
F,55.0,2700.12,Low,Working,Drivers,Semi-Urban,24890.1,141.45,2.0,757.67,0,Active,Rural,1,32954.34,18667.57,True
M,50.0,0.0,Low,Commercial associate,Accountants,Semi-Urban,61445.67,316.61,0.0,710.12,0,Active,Urban,1,116623.96,43011.97,True
M,50.0,2476.71,Low,Working,Not available,Semi-Urban,79928.84,336.88,2.0,678.0,0,Unpossessed,Semi-Urban,1,100315.66,51953.75,True
F,18.0,2760.03,Low,Working,Security staff,Semi-Urban,64516.08,322.2,1.0,682.6,1,Unpossessed,Rural,1,117010.73,41935.45,True
F,62.0,1519.67,High,Pensioner,Retired,Semi-Urban,45103.02,450.18,1.0,854.18,0,Unpossessed,Semi-Urban,1,75013.84,31572.11,True
M,48.0,2590.89,Low,Working,Waiters/barmen staff,Semi-Urban,32607.06,293.0,0.0,801.62,0,Inactive,Rural,1,60126.46,26085.65,True
F,56.0,1589.8,Low,Working,High skill tech staff,Rural,42465.29,294.29,2.0,729.66,1,Active,Rural,1,68719.99,29725.7,True
M,30.0,3967.09,Low,Working,High skill tech staff,Semi-Urban,175654.45,730.28,0.0,718.28,1,Active,Rural,1,198852.89,114175.39,True
M,22.0,2178.86,Low,Commercial associate,Sales staff,Semi-Urban,60176.63,282.93,1.0,813.17,0,Inactive,Rural,1,82905.84,45132.47,True
M,37.0,1332.42,Low,Commercial associate,Not available,Semi-Urban,60017.87,475.42,1.0,728.29,0,Active,Semi-Urban,1,99319.12,42012.51,True
F,63.0,3516.53,Low,Working,Managers,Semi-Urban,111662.86,670.31,1.0,822.91,0,Unpossessed,Semi-Urban,1,149145.97,89330.29,True
F,61.0,0.0,High,Pensioner,Retired,Urban,246597.03749999998,938.59,3.0,791.54,0,Active,Rural,1,369850.44375,177270.41499999998,True
M,22.0,1206.34,Low,Working,Sales staff,Rural,19195.88,97.75,2.0,669.13,0,Inactive,Semi-Urban,1,32233.86,12477.32,True
M,53.0,2000.87,Low,Working,Drivers,Semi-Urban,124714.96,631.2,2.0,675.33,0,Inactive,Urban,1,170138.05,87300.47,True
M,48.0,979.49,Low,Working,Medicine staff,Semi-Urban,24728.19,137.78,3.0,710.2,0,Inactive,Semi-Urban,1,33750.19,16073.32,True
F,51.0,5351.7775,Low,Working,Managers,Urban,102169.74,738.55,3.0,851.94,1,Inactive,Rural,1,139187.56,86844.28,True
F,18.0,0.0,Low,Working,Laborers,Semi-Urban,30911.17,152.44,3.0,740.04,0,Active,Semi-Urban,1,41720.56,21637.82,True
F,40.0,0.0,Low,Working,Security staff,Urban,76049.06,341.29,2.0,760.05,0,Inactive,Semi-Urban,1,89983.16,60839.25,True
F,56.0,1894.11,Low,Working,Private service staff,Semi-Urban,36501.56,219.55,2.0,854.27,1,Inactive,Urban,1,53826.78,25551.09,True
M,65.0,5351.7775,High,Pensioner,Retired,Semi-Urban,37067.92,197.19,1.0,717.87,0,Active,Urban,0,62892.32,24094.15,True
F,35.0,3537.39,Low,Commercial associate,Core staff,Semi-Urban,27863.43,127.96,2.0,687.21,0,Active,Semi-Urban,1,49483.82,19504.4,True
F,65.0,1356.3,High,Pensioner,Retired,Rural,90572.18,327.39,2.0,781.35,0,Active,Urban,1,139890.25,72457.74,True
F,58.0,1565.69,Low,Working,Laborers,Rural,20284.94,179.39,1.0,660.75,1,Unpossessed,Semi-Urban,1,37516.71,13185.21,True
M,44.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,38189.42,133.77,2.0,658.54,0,Active,Semi-Urban,1,66887.0,24823.12,True
M,63.0,1028.41,High,Pensioner,Retired,Semi-Urban,6840.47,66.86,1.0,770.26,0,Inactive,Urban,0,9440.89,5130.35,True
F,18.0,3214.48,Low,State servant,Managers,Semi-Urban,107040.92,589.89,0.0,681.92,0,Inactive,Semi-Urban,1,161283.95,69576.6,True
M,56.0,0.0,Low,State servant,Accountants,Semi-Urban,200074.37,562.02,4.0,733.89,1,Active,Semi-Urban,1,364087.25,130048.34,True
M,59.0,0.0,Low,Working,Not available,Semi-Urban,139265.98,388.1,3.0,704.75,0,Unpossessed,Rural,1,221176.16,90522.89,True
M,64.0,1545.57,Low,Working,Not available,Semi-Urban,159560.45,498.49,1.0,707.22,0,Unpossessed,Semi-Urban,1,279036.8,103714.29,True
M,22.0,4493.53,Low,Working,Sales staff,Semi-Urban,62366.83,283.94,2.0,797.71,0,Unpossessed,Urban,1,113945.92,49893.46,True
M,42.0,2139.98,Low,Working,Core staff,Semi-Urban,24656.28,124.14,2.0,852.17,0,Unpossessed,Rural,1,31258.86,19725.02,True
F,36.0,0.0,Low,Working,Sales staff,Semi-Urban,97031.52,308.86,2.0,781.72,0,Active,Rural,1,169263.91,72773.64,True
M,38.0,1919.85,Low,Working,Laborers,Semi-Urban,31362.64,260.79,4.0,756.17,1,Unpossessed,Rural,1,52756.02,21953.85,True
F,47.0,1273.04,Low,Working,Sales staff,Rural,38205.43,205.4,3.0,798.66,1,Active,Urban,1,64949.87,28654.07,True
M,64.0,3418.19,Low,Commercial associate,Accountants,Rural,59458.51,358.26,1.0,809.85,0,Inactive,Urban,1,92549.63,41620.96,True
M,32.0,4752.31,Low,Working,Managers,Semi-Urban,92444.56,447.98,2.0,723.27,0,Active,Rural,1,102105.1,64711.19,True
F,41.0,2918.66,Low,Working,Managers,Urban,67945.04,361.46,0.0,740.04,0,Active,Rural,1,113957.08,47561.53,True
M,18.0,0.0,Low,Commercial associate,Managers,Rural,74577.6,381.31,2.0,718.98,0,Unpossessed,Rural,1,106610.08,52204.32,True
F,39.0,2100.78,Low,Working,Laborers,Semi-Urban,210569.27,537.7,1.0,699.5,0,Active,Semi-Urban,1,369850.44375,147398.49,True
M,58.0,1660.34,Low,Working,High skill tech staff,Semi-Urban,49598.48,265.6,1.0,763.17,0,Active,Rural,1,59389.33,39678.78,True
M,18.0,2877.12,Low,Working,Sales staff,Semi-Urban,169359.86,946.50875,3.0,670.89,1,Active,Urban,1,265433.18,118551.9,True
F,30.0,0.0,Low,Working,Laborers,Semi-Urban,53106.96,162.12,1.0,740.04,0,Active,Urban,1,64680.13,34519.52,True
F,37.0,0.0,Low,Commercial associate,Accountants,Urban,79909.09,397.51,2.0,773.58,1,Active,Urban,1,123005.34,59931.82,True
F,28.0,3131.48,Low,Working,Laborers,Rural,102536.42,557.03,1.0,669.4,1,Unpossessed,Semi-Urban,1,150194.71,71775.49,True
F,18.0,3496.45,Low,Working,Waiters/barmen staff,Semi-Urban,136037.97,604.69,2.0,831.56,0,Unpossessed,Urban,1,237410.99,95226.58,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,79442.15,381.79,2.0,684.07,0,Inactive,Semi-Urban,1,138667.33,55609.5,True
F,64.0,967.86,Low,Working,Sales staff,Semi-Urban,47048.96,240.63,2.0,671.05,0,Inactive,Urban,1,52018.51,32934.27,True
M,33.0,1491.84,Low,Working,Cleaning staff,Semi-Urban,98757.66,296.19,3.0,761.02,0,Inactive,Semi-Urban,1,133896.96,69130.36,True
M,52.0,2182.76,Low,Working,Laborers,Semi-Urban,138081.27,552.45,0.0,717.7,0,Inactive,Rural,1,210008.23,89752.83,True
F,42.0,2462.09,Low,Working,Realty agents,Rural,246597.03749999998,702.81,3.0,798.13,0,Active,Rural,1,336636.4,177270.41499999998,True
F,32.0,2356.9,Low,Commercial associate,Laborers,Semi-Urban,141950.43,371.69,2.0,740.04,0,Inactive,Rural,1,257724.9,92267.78,True
M,61.0,0.0,Low,Working,Drivers,Semi-Urban,42747.02,223.99,1.0,765.5,0,Active,Urban,1,63815.66,34197.62,True
M,51.0,5351.7775,Low,Commercial associate,Not available,Urban,137881.43,704.56,5.0,758.89,0,Unpossessed,Semi-Urban,1,201934.97,96517.0,True
M,21.0,2836.78,Low,Working,Laborers,Rural,123359.81,608.46,3.0,683.77,1,Active,Semi-Urban,1,188339.8,80183.88,True
M,42.0,1239.81,Low,Commercial associate,Not available,Semi-Urban,28781.77,197.86,2.0,745.39,0,Inactive,Urban,1,34640.81,18708.15,True
F,31.0,0.0,Low,Working,Sales staff,Semi-Urban,145343.2,927.59,2.0,841.12,1,Inactive,Semi-Urban,1,256615.01,101740.24,True
M,18.0,0.0,Low,Working,Not available,Semi-Urban,23807.1,123.46,1.0,682.32,0,Inactive,Semi-Urban,1,43868.75,15474.62,True
M,35.0,3048.84,Low,Working,Not available,Urban,86281.74,635.82,3.0,779.09,0,Active,Urban,1,133711.7,60397.22,True
F,36.0,1256.46,Low,Commercial associate,Laborers,Semi-Urban,87663.0,501.31,3.0,760.06,0,Inactive,Urban,1,149690.69,61364.1,True
M,18.0,1804.62,Low,Commercial associate,High skill tech staff,Semi-Urban,138931.88,488.59,1.0,782.31,0,Active,Rural,1,156867.8,111145.5,True
M,64.0,3637.7,Low,Commercial associate,Managers,Rural,23811.63,162.44,2.0,811.11,0,Unpossessed,Semi-Urban,1,40867.64,19049.3,True
F,26.0,4338.52,Low,Working,Sales staff,Semi-Urban,106168.08,327.38,2.0,740.04,0,Inactive,Rural,1,164951.03,74317.66,True
M,43.0,2532.51,Low,Working,Not available,Rural,6189.5,34.04,4.0,728.51,0,Inactive,Semi-Urban,1,8406.79,4023.18,True
M,62.0,2334.17,Low,Commercial associate,Laborers,Semi-Urban,174980.55,639.42,0.0,689.17,0,Inactive,Rural,1,322776.3,113737.36,True
M,52.0,5023.72,Low,Commercial associate,Not available,Semi-Urban,102610.53,762.16,4.0,792.47,0,Unpossessed,Urban,1,148807.35,76957.9,True
M,51.0,2021.96,Low,Commercial associate,Sales staff,Urban,114273.33,375.55,4.0,720.3,0,Active,Rural,1,185723.98,79991.33,True
F,48.0,3404.88,Low,State servant,Core staff,Urban,35677.5,358.57,2.0,851.44,1,Unpossessed,Semi-Urban,1,49569.03,35677.5,True
M,37.0,3268.08,Low,Working,Accountants,Semi-Urban,113861.07,480.68,1.0,738.18,0,Unpossessed,Semi-Urban,1,171731.49,79702.75,True
M,43.0,1637.51,Low,Working,High skill tech staff,Semi-Urban,75095.84,417.84,3.0,815.75,1,Unpossessed,Semi-Urban,1,114087.85,60076.67,True
F,26.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,81490.74,946.50875,4.0,722.17,0,Active,Rural,1,132436.48,57043.52,True
M,43.0,0.0,Low,Working,Laborers,Semi-Urban,99316.11,367.34,1.0,707.82,0,Inactive,Rural,1,133883.38,64555.47,True
M,51.0,2470.74,Low,Working,Low-skill Laborers,Semi-Urban,105866.95,834.14,3.0,651.64,0,Inactive,Rural,1,146419.13,74106.86,True
M,44.0,0.0,Low,Commercial associate,Not available,Semi-Urban,114392.28,376.31,2.0,708.88,1,Unpossessed,Rural,1,211999.08,74354.98,True
M,21.0,2137.01,Low,Working,Sales staff,Semi-Urban,201716.39,498.39,2.0,804.32,0,Inactive,Semi-Urban,1,233893.63,141201.47,True
F,18.0,1893.91,Low,Commercial associate,Core staff,Semi-Urban,113175.0,383.49,2.0,825.06,0,Active,Urban,1,167022.14,84881.25,True
M,55.0,2755.69,Low,State servant,High skill tech staff,Semi-Urban,39048.36,332.61,1.0,650.09,0,Unpossessed,Rural,1,67755.7,25381.43,True
F,50.0,0.0,Low,State servant,Not available,Semi-Urban,124136.37,324.74,3.0,665.98,0,Active,Rural,1,142154.35,86895.46,True
M,50.0,0.0,Low,Working,Laborers,Semi-Urban,112900.61,542.32,3.0,801.33,0,Active,Urban,1,189468.38,90320.49,True
M,44.0,3466.88,Low,Working,Laborers,Semi-Urban,161020.8,700.37,0.0,788.67,0,Active,Urban,1,194231.61,128816.64,True
F,60.0,3462.78,High,Pensioner,Retired,Semi-Urban,91715.54,271.26,2.0,873.28,0,Active,Rural,0,110304.39,68786.66,True
M,37.0,1631.16,Low,Commercial associate,Not available,Semi-Urban,53926.02,159.06,3.0,652.46,0,Active,Rural,1,93484.83,35051.91,True
M,23.0,1970.12,Low,Working,Laborers,Semi-Urban,45332.69,295.74,1.0,655.33,0,Unpossessed,Rural,1,68462.61,31732.88,True
F,65.0,911.24,High,Pensioner,Retired,Rural,31484.72,176.33,2.0,851.02,0,Active,Rural,1,57401.5,23613.54,True
M,18.0,1098.18,Low,Working,Laborers,Semi-Urban,77512.02,346.47,2.0,668.87,0,Inactive,Semi-Urban,1,129330.82,50382.81,True
F,57.0,4244.06,Low,Working,High skill tech staff,Semi-Urban,89707.55,471.27,1.0,721.5,0,Inactive,Semi-Urban,1,161982.05,62795.28,True
M,65.0,2662.74,High,Pensioner,Retired,Semi-Urban,126470.1,407.09,1.0,774.11,0,Inactive,Urban,1,205775.77,94852.58,True
F,34.0,2940.62,Low,State servant,Core staff,Urban,37359.33,191.58,0.0,842.73,0,Active,Semi-Urban,1,58296.16,29887.46,True
F,43.0,1935.49,Low,Working,Private service staff,Semi-Urban,109313.69,459.13,2.0,650.39,0,Active,Urban,1,143224.2,76519.58,True
M,56.0,4252.56,Low,Commercial associate,Sales staff,Semi-Urban,155846.86,465.13,3.0,824.43,0,Unpossessed,Semi-Urban,1,199451.96,109092.8,True
F,46.0,824.0,Low,Working,Laborers,Semi-Urban,28762.4,173.77,2.0,770.16,1,Active,Rural,1,54258.63,23009.92,True
F,64.0,2534.74,Low,Commercial associate,Managers,Rural,130784.86,632.41,2.0,791.81,0,Active,Urban,1,169766.07,98088.64,True
F,18.0,3089.34,Low,Working,Not available,Urban,81979.03,395.75,0.0,652.28,0,Unpossessed,Urban,1,101688.7,53286.37,True
F,25.0,0.0,Low,Working,Sales staff,Semi-Urban,67406.4,339.62,3.0,713.59,0,Inactive,Urban,1,98777.13,43814.16,True
F,59.0,997.39,Low,Working,Core staff,Semi-Urban,26045.14,137.21,2.0,740.04,0,Unpossessed,Urban,1,46802.31,19533.86,True
F,65.0,3320.45,High,Pensioner,Retired,Semi-Urban,93722.31,320.44,2.0,805.44,1,Unpossessed,Semi-Urban,1,134052.11,65605.62,True
M,26.0,1272.64,Low,Working,Sales staff,Semi-Urban,27915.27,132.96,1.0,673.66,0,Unpossessed,Rural,1,39834.37,19540.69,True
M,58.0,0.0,Low,Working,Drivers,Rural,31073.48,214.31,2.0,658.98,1,Active,Semi-Urban,1,39487.19,20197.76,True
M,54.0,0.0,Low,Working,Sales staff,Semi-Urban,24805.62,125.15,0.0,675.64,0,Active,Rural,1,44287.49,17363.93,True
M,44.0,2030.99,Low,State servant,Laborers,Semi-Urban,26802.03,138.45,2.0,688.22,0,Inactive,Rural,1,36179.99,17421.32,True
M,47.0,2898.53,Low,State servant,Accountants,Semi-Urban,37650.79,230.72,5.0,784.91,0,Active,Semi-Urban,1,42259.04,26355.55,True
M,60.0,3647.48,Low,Working,Accountants,Semi-Urban,92025.17,271.1,2.0,758.65,0,Active,Rural,1,119475.01,69018.88,True
M,27.0,0.0,Low,Working,Sales staff,Semi-Urban,61649.37,500.62,1.0,768.21,0,Inactive,Rural,1,91110.67,43154.56,True
M,65.0,1815.74,High,Pensioner,Retired,Semi-Urban,96950.29,478.46,2.0,740.04,0,Unpossessed,Semi-Urban,0,107850.7,77560.23,True
M,64.0,5351.7775,High,Pensioner,Retired,Urban,246597.03749999998,856.03,2.0,870.22,0,Active,Rural,0,369850.44375,177270.41499999998,True
M,29.0,2915.93,Low,State servant,Core staff,Urban,68159.89,451.18,2.0,740.04,0,Inactive,Urban,1,75697.92,47711.92,True
M,18.0,5219.66,Low,Working,Laborers,Urban,94710.9,508.81,1.0,725.63,0,Active,Rural,1,154216.44,66297.63,True
M,24.0,1689.23,Low,Working,Sales staff,Semi-Urban,21300.04,165.04,2.0,683.05,0,Active,Rural,1,28328.25,14910.03,True
F,48.0,3019.18,Low,Working,Low-skill Laborers,Semi-Urban,125147.71,932.19,2.0,775.64,0,Inactive,Semi-Urban,1,164740.36,100118.17,True
M,33.0,2642.24,Low,Commercial associate,Drivers,Semi-Urban,42274.06,246.13,5.0,734.85,0,Unpossessed,Rural,1,58303.74,27478.14,True
F,55.0,3735.11,Low,Commercial associate,Managers,Semi-Urban,39214.61,423.91,4.0,791.34,0,Inactive,Semi-Urban,1,66402.87,29410.96,True
M,64.0,2684.22,High,Pensioner,Retired,Semi-Urban,218350.95,565.38,2.0,853.85,0,Active,Semi-Urban,1,246482.47,152845.66,True
M,61.0,2045.45,High,Pensioner,Retired,Semi-Urban,105075.67,388.42,1.0,896.26,0,Active,Urban,0,181330.45,84060.54,True
M,60.0,1688.61,High,Pensioner,Retired,Rural,75015.14,333.17,0.0,740.04,0,Active,Rural,1,138895.43,60012.11,True
M,58.0,1364.79,Low,Commercial associate,Drivers,Semi-Urban,19685.95,127.54,3.0,701.57,0,Active,Rural,1,26031.2,13780.16,True
M,18.0,1671.81,Low,Working,Private service staff,Semi-Urban,17644.97,139.31,0.0,721.97,0,Unpossessed,Semi-Urban,1,23615.91,11469.23,True
F,64.0,3348.03,Low,Commercial associate,Managers,Rural,25849.09,138.06,3.0,709.49,0,Active,Urban,1,32998.86,18094.36,True
M,40.0,2021.75,Low,Working,Medicine staff,Urban,36294.77,205.0,1.0,698.25,0,Inactive,Urban,1,64860.26,25406.34,True
M,18.0,3136.81,Low,Commercial associate,Low-skill Laborers,Semi-Urban,100990.4,841.52,2.0,688.47,0,Unpossessed,Rural,1,183703.74,65643.76,True
F,61.0,1678.74,High,Pensioner,Retired,Rural,22212.7,159.31,2.0,740.04,0,Unpossessed,Rural,0,34050.21,16659.53,True
F,61.0,0.0,High,Pensioner,Retired,Rural,52152.58,248.85,2.0,818.81,1,Unpossessed,Urban,1,72118.22,41722.06,True
F,57.0,3128.83,Low,Working,Medicine staff,Semi-Urban,72377.75,271.71,2.0,868.29,1,Unpossessed,Rural,1,123798.27,57902.2,True
F,55.0,3698.25,Low,Commercial associate,Not available,Semi-Urban,49607.22,194.92,3.0,714.22,0,Inactive,Semi-Urban,1,76861.49,32244.69,True
F,59.0,2350.57,Low,Working,Accountants,Rural,155415.53,609.91,3.0,837.48,0,Active,Urban,1,221160.69,108790.87,True
M,52.0,3019.22,Low,Working,Core staff,Rural,246597.03749999998,946.50875,2.0,699.81,1,Unpossessed,Urban,1,368376.84,177270.41499999998,True
M,31.0,2481.37,Low,Commercial associate,High skill tech staff,Semi-Urban,104912.22,408.34,2.0,823.43,0,Unpossessed,Urban,1,187588.62,83929.78,True
M,52.0,3652.54,Low,Working,Managers,Semi-Urban,60290.94,394.76,2.0,798.1,0,Inactive,Rural,1,90879.54,42203.66,True
M,38.0,2851.65,Low,Working,Accountants,Semi-Urban,71229.02,286.93,0.0,740.04,0,Unpossessed,Rural,1,105789.0,53421.76,True
F,65.0,1560.02,High,Pensioner,Retired,Semi-Urban,29648.91,306.52,2.0,794.38,1,Active,Semi-Urban,1,35838.91,20754.24,True
M,45.0,3140.7,Low,Working,Managers,Semi-Urban,44784.94,479.22,1.0,724.44,0,Active,Urban,1,57788.41,29110.21,True
M,38.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,112213.71,556.61,0.0,814.53,0,Inactive,Semi-Urban,1,149678.71,84160.28,True
F,18.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,19207.76,66.6,1.0,855.08,0,Active,Semi-Urban,1,29691.19,14405.82,True
F,59.0,1921.55,Low,Working,Laborers,Semi-Urban,137872.66,786.65,5.0,760.25,1,Unpossessed,Urban,1,228937.1,96510.86,True
F,28.0,2719.89,Low,Commercial associate,Managers,Urban,166056.07,519.55,2.0,856.68,1,Active,Urban,1,227903.42,132844.86,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,102657.52,549.18,2.0,835.59,0,Unpossessed,Urban,0,191179.76,76993.14,True
F,43.0,0.0,Low,Working,Not available,Semi-Urban,44856.91,500.13,1.0,651.73,0,Inactive,Rural,1,65079.69,29156.99,True
