Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
F,56.0,0.0,Low,Working,Accountants,Rural,196245.84,527.95,3.0,825.47,1,Unpossessed,Rural,1,262350.03,True
M,49.0,0.0,Low,State servant,Not available,Semi-Urban,115336.46,463.92,2.0,817.56,0,Active,Semi-Urban,1,213722.58,True
F,18.0,0.0,Low,State servant,Not available,Semi-Urban,136412.69,435.26,4.0,663.85,0,Active,Urban,1,167459.4,True
F,30.0,2769.61,Low,Commercial associate,Sales staff,Semi-Urban,62066.38,320.68,0.0,717.0,0,Inactive,Rural,1,68831.27,True
M,60.0,4681.81,Low,State servant,Secretaries,Urban,229826.46625,617.07,3.0,792.78,0,Unpossessed,Rural,1,299175.8,True
M,26.0,0.0,Low,Working,Laborers,Semi-Urban,15689.77,153.02,0.0,712.52,0,Unpossessed,Urban,1,20321.28,True
F,36.0,0.0,Low,Working,Sales staff,Urban,229826.46625,629.44,2.0,799.84,0,Active,Urban,1,342188.40624999994,True
M,60.0,2417.92,Low,Working,Not available,Urban,126542.49,469.75,2.0,826.02,0,Active,Rural,1,143213.69,True
M,53.0,3870.8,Low,Working,Security staff,Rural,145232.29,630.15,2.0,770.29,0,Inactive,Semi-Urban,1,199517.67,True
M,32.0,2469.84,Low,Working,Drivers,Semi-Urban,105721.84,292.39,4.0,690.86,1,Unpossessed,Urban,1,191459.75,True
M,18.0,2117.55,Low,Commercial associate,Private service staff,Semi-Urban,115201.76,376.91,4.0,666.8,0,Active,Urban,1,147615.46,True
M,37.0,0.0,Low,Working,Sales staff,Semi-Urban,99879.77,489.22,1.0,813.62,0,Inactive,Urban,1,181321.62,True
F,29.0,2303.36,Low,Working,Not available,Semi-Urban,204501.41,512.44,2.0,856.39,1,Inactive,Rural,1,227088.32,True
M,53.0,0.0,Low,Working,Laborers,Rural,69036.79,573.98,1.0,721.27,0,Inactive,Urban,1,121411.33,True
F,55.0,4691.11,Low,Commercial associate,Managers,Semi-Urban,187576.22,738.08,2.0,848.38,0,Active,Urban,1,226095.71,True
F,59.0,1868.91,Low,Commercial associate,Security staff,Rural,92721.66,343.41,3.0,805.22,0,Inactive,Rural,1,115854.9,True
F,64.0,3793.21,Low,Working,Laborers,Semi-Urban,125542.81,430.66,1.0,810.8,0,Active,Semi-Urban,1,180706.39,True
M,63.0,3240.09,High,Pensioner,Retired,Semi-Urban,57266.0,311.89,2.0,875.05,0,Active,Semi-Urban,1,104690.44,True
M,18.0,0.0,Low,Working,Managers,Semi-Urban,31212.88,255.2,2.0,709.31,0,Inactive,Semi-Urban,1,52929.0,True
F,60.0,1342.7,Low,Working,Cooking staff,Rural,28471.0,157.99,4.0,680.41,0,Active,Semi-Urban,1,40627.6,True
F,19.0,4956.74,Low,Working,Security staff,Urban,85047.69,478.49,0.0,806.84,0,Inactive,Semi-Urban,1,151863.76,True
M,41.0,1844.03,Low,Working,Sales staff,Semi-Urban,170003.57,436.21,1.0,766.92,0,Inactive,Urban,1,238174.33,True
F,57.0,2854.29,Low,Working,Drivers,Urban,85175.63,260.68,3.0,777.34,0,Inactive,Urban,1,158559.6,True
F,18.0,5137.077499999999,Low,Working,Laborers,Semi-Urban,112726.17,340.25,1.0,779.57,0,Active,Rural,1,188222.2,True
F,59.0,2500.01,Low,Commercial associate,Accountants,Semi-Urban,99539.83,755.31,2.0,733.68,0,Inactive,Rural,1,113093.6,True
M,64.0,1229.21,High,Pensioner,Retired,Rural,40193.91,168.17,1.0,675.93,1,Unpossessed,Semi-Urban,1,58102.01,True
F,61.0,1059.3,High,Pensioner,Retired,Semi-Urban,19358.43,111.14,2.0,860.18,0,Inactive,Semi-Urban,0,22221.06,True
M,51.0,2258.27,Low,Working,High skill tech staff,Semi-Urban,61085.43,315.16,3.0,740.04,1,Unpossessed,Rural,1,113833.96,True
F,42.0,2013.8,Low,Working,Core staff,Rural,152982.41,552.38,2.0,804.12,0,Active,Semi-Urban,1,220706.38,True
M,18.0,942.71,Low,Commercial associate,Accountants,Semi-Urban,9537.91,94.5,3.0,752.0,0,Inactive,Semi-Urban,1,14907.39,True
M,42.0,2414.62,Low,Commercial associate,Not available,Semi-Urban,41018.67,187.14,0.0,807.18,0,Unpossessed,Urban,1,46723.46,True
F,62.0,2343.87,Low,Working,Cooking staff,Semi-Urban,81183.62,498.1,3.0,651.41,0,Inactive,Semi-Urban,1,148729.06,True
F,24.0,1653.99,Low,State servant,Not available,Semi-Urban,66027.35,197.7,1.0,772.21,0,Unpossessed,Urban,1,82452.91,True
M,24.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,229826.46625,912.1887499999999,0.0,665.42,1,Active,Urban,1,295620.76,True
F,65.0,2499.2,High,Pensioner,Retired,Semi-Urban,70236.07,789.31,1.0,862.75,0,Unpossessed,Rural,0,98685.78,True
F,57.0,3870.48,Low,State servant,Managers,Semi-Urban,229826.46625,912.1887499999999,3.0,676.0,0,Inactive,Urban,1,342188.40624999994,True
F,65.0,3397.06,High,Pensioner,Retired,Semi-Urban,221627.26,623.33,3.0,862.02,0,Inactive,Semi-Urban,1,342188.40624999994,True
F,56.0,0.0,Low,Working,Managers,Rural,229826.46625,644.5,2.0,757.53,0,Inactive,Urban,1,253682.93,True
F,61.0,4023.49,Low,Commercial associate,Core staff,Rural,73598.34,612.85,2.0,746.35,0,Active,Rural,1,101011.2,True
M,65.0,1426.95,High,Pensioner,Retired,Semi-Urban,52295.88,276.09,1.0,869.81,0,Active,Rural,1,65079.66,True
M,65.0,1848.15,High,Pensioner,Retired,Semi-Urban,99685.05,0.0,2.0,778.04,0,Inactive,Semi-Urban,1,167575.4,True
F,31.0,1750.92,Low,Working,Cleaning staff,Semi-Urban,130426.38,341.12,2.0,824.57,0,Active,Urban,1,230639.71,True
M,61.0,3692.38,Low,Commercial associate,Realty agents,Semi-Urban,101814.03,518.26,1.0,658.55,0,Active,Rural,1,164790.43,True
M,31.0,3857.58,Low,Working,Sales staff,Rural,99011.98,452.51,2.0,738.89,0,Inactive,Semi-Urban,1,137348.94,True
M,39.0,1857.97,Low,Working,Not available,Rural,100375.71,679.41,3.0,748.9,0,Unpossessed,Semi-Urban,1,152950.37,True
F,43.0,3908.47,Low,Working,Laborers,Semi-Urban,63434.9,313.61,2.0,683.58,1,Unpossessed,Rural,1,109200.97,True
M,43.0,3434.86,Low,Commercial associate,Not available,Semi-Urban,90952.04,455.88,1.0,734.55,0,Active,Urban,1,145292.25,True
M,38.0,1182.05,Low,Working,Not available,Semi-Urban,35152.7,169.68,1.0,727.16,0,Unpossessed,Urban,1,50221.91,True
M,18.0,4747.99,Low,State servant,Core staff,Semi-Urban,146285.77,568.92,2.0,701.26,0,Inactive,Rural,1,239595.1,True
M,42.0,1201.72,Low,Working,Accountants,Rural,14427.16,94.52,3.0,740.04,0,Inactive,Semi-Urban,1,25340.58,True
M,41.0,1516.85,Low,Working,Not available,Semi-Urban,67496.73,185.48,3.0,740.04,0,Inactive,Rural,1,118187.93,True
F,52.0,1018.78,Low,Commercial associate,High skill tech staff,Semi-Urban,39927.24,251.98,2.0,839.2,0,Unpossessed,Rural,1,67330.58,True
F,29.0,0.0,Low,Working,Laborers,Rural,152661.03,448.27,2.0,801.77,1,Unpossessed,Semi-Urban,1,251090.9,True
F,65.0,0.0,High,Pensioner,Retired,Rural,157345.54,653.12,0.0,798.02,0,Unpossessed,Urban,0,274040.25,True
M,53.0,0.0,Low,Commercial associate,Not available,Semi-Urban,26563.98,133.77,2.0,740.44,0,Unpossessed,Rural,1,43051.12,True
M,18.0,2145.86,Low,Commercial associate,Sales staff,Urban,189915.14,511.29,4.0,806.64,0,Inactive,Urban,1,308216.76,True
M,50.0,3003.26,Low,State servant,Core staff,Semi-Urban,88719.21,580.75,2.0,764.88,0,Inactive,Urban,1,167073.07,True
M,18.0,1534.49,Low,Working,High skill tech staff,Semi-Urban,119214.21,371.77,2.0,673.83,0,Inactive,Semi-Urban,1,131823.25,True
F,48.0,2827.27,Low,Working,Not available,Semi-Urban,87012.73,435.12,3.0,715.37,0,Active,Urban,1,122265.4,True
F,62.0,2783.37,High,Pensioner,Retired,Urban,199378.32,515.71,2.0,860.57,0,Inactive,Semi-Urban,0,246258.21,True
F,18.0,3446.05,Low,Working,Not available,Semi-Urban,67799.52,593.77,0.0,757.33,1,Inactive,Semi-Urban,1,76486.51,True
M,41.0,1876.67,Low,Working,Not available,Semi-Urban,69495.04,344.27,4.0,740.04,0,Active,Urban,1,102486.69,True
F,50.0,5137.077499999999,Low,State servant,Core staff,Semi-Urban,212830.21,912.1887499999999,2.0,766.17,1,Unpossessed,Semi-Urban,1,256856.51,True
F,30.0,3220.71,Low,Commercial associate,Managers,Semi-Urban,92956.95,295.64,2.0,831.17,0,Inactive,Urban,1,140818.31,True
M,57.0,794.71,Low,Working,High skill tech staff,Semi-Urban,15986.74,134.27,0.0,676.74,0,Inactive,Rural,1,18751.83,True
F,54.0,673.32,Low,Working,Laborers,Rural,19285.45,94.93,3.0,822.16,0,Unpossessed,Rural,1,29137.94,True
M,18.0,3392.11,Low,Working,Accountants,Semi-Urban,70184.55,595.66,1.0,654.85,0,Inactive,Urban,1,110270.16,True
M,58.0,3516.81,Low,Commercial associate,Laborers,Semi-Urban,93507.43,461.53,2.0,744.74,0,Inactive,Semi-Urban,1,150873.44,True
M,18.0,3018.53,Low,Commercial associate,Accountants,Semi-Urban,68166.98,306.94,2.0,786.01,0,Inactive,Semi-Urban,1,101468.02,True
F,61.0,5137.077499999999,Low,Commercial associate,Laborers,Urban,116335.68,355.63,1.0,765.34,1,Unpossessed,Semi-Urban,1,216967.69,True
M,55.0,0.0,Low,Working,Laborers,Semi-Urban,100096.94,274.24,0.0,704.74,1,Unpossessed,Rural,1,182827.67,True
F,46.0,1717.63,Low,Working,High skill tech staff,Semi-Urban,47305.26,228.74,0.0,773.66,0,Inactive,Rural,1,67580.63,True
M,58.0,2762.8,Low,Working,Sales staff,Semi-Urban,69676.35,571.38,1.0,720.21,0,Inactive,Semi-Urban,1,91302.23,True
M,48.0,0.0,Low,Working,Accountants,Semi-Urban,115723.87,642.63,2.0,769.82,0,Inactive,Semi-Urban,1,200047.21,True
M,61.0,1992.36,Low,Working,Sales staff,Semi-Urban,126320.72,505.88,2.0,824.93,0,Unpossessed,Rural,1,205784.46,True
F,53.0,2473.51,Low,Working,Sales staff,Rural,103546.24,359.33,2.0,719.86,1,Active,Semi-Urban,1,193729.84,True
F,30.0,0.0,Low,Commercial associate,Managers,Semi-Urban,223267.03,853.77,4.0,818.0,0,Active,Semi-Urban,1,275946.75,True
M,41.0,2768.6,Low,Working,Accountants,Rural,155120.67,489.62,4.0,762.03,0,Active,Rural,1,285222.89,True
F,43.0,5137.077499999999,Low,Working,Not available,Semi-Urban,229826.46625,775.14,2.0,786.72,0,Unpossessed,Rural,1,342188.40624999994,True
M,43.0,1594.39,Low,Working,Sales staff,Semi-Urban,20737.88,101.63,0.0,803.34,0,Unpossessed,Rural,1,38937.97,True
F,25.0,2326.75,Low,Working,Sales staff,Urban,83445.94,409.07,4.0,730.45,1,Active,Rural,1,99550.15,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,78713.65,319.11,1.0,797.47,0,Unpossessed,Semi-Urban,0,112259.96,True
M,18.0,0.0,Low,Commercial associate,Not available,Rural,66519.38,417.44,2.0,723.97,0,Unpossessed,Rural,1,95077.81,True
M,60.0,3812.43,Low,Working,Not available,Semi-Urban,229826.46625,806.89,2.0,695.69,0,Unpossessed,Semi-Urban,1,342188.40624999994,True
M,65.0,1791.14,High,Pensioner,Retired,Semi-Urban,152974.86,646.64,2.0,834.16,0,Inactive,Rural,1,169520.13,True
M,47.0,2898.53,Low,State servant,Accountants,Semi-Urban,37650.79,230.72,5.0,784.91,0,Active,Semi-Urban,1,42259.04,True
F,60.0,2872.67,Low,Commercial associate,Sales staff,Rural,94936.77,321.89,2.0,772.27,0,Inactive,Rural,1,135834.68,True
F,36.0,2737.34,Low,Working,Sales staff,Semi-Urban,111860.53,639.74,2.0,812.34,0,Inactive,Semi-Urban,1,161429.65,True
M,18.0,1705.56,Low,Commercial associate,Laborers,Semi-Urban,146858.4,466.32,2.0,867.55,1,Inactive,Rural,1,212120.88,True
F,58.0,1416.21,Low,State servant,Not available,Semi-Urban,32376.1,369.65,2.0,794.92,0,Inactive,Rural,1,55538.08,True
F,18.0,2077.5,Low,Working,Not available,Rural,124532.71,457.85,2.0,710.03,0,Active,Semi-Urban,1,170861.43,True
M,18.0,3277.89,Low,Working,Not available,Urban,141399.13,912.1887499999999,2.0,685.1,0,Unpossessed,Urban,1,187040.57,True
F,52.0,3032.35,Low,Working,Waiters/barmen staff,Semi-Urban,158612.98,569.47,4.0,750.8,0,Unpossessed,Urban,1,213008.61,True
F,20.0,2974.01,Low,Working,Security staff,Semi-Urban,77379.76,212.4,2.0,795.13,0,Inactive,Rural,1,107506.94,True
F,60.0,2431.38,Low,Working,Core staff,Semi-Urban,73505.59,531.68,0.0,841.37,0,Inactive,Semi-Urban,1,132120.15,True
M,29.0,5137.077499999999,Low,Commercial associate,Core staff,Semi-Urban,103714.57,301.4,0.0,732.55,0,Active,Rural,1,169365.77,True
F,61.0,0.0,High,Pensioner,Retired,Urban,229826.46625,912.1887499999999,3.0,791.54,0,Active,Rural,1,342188.40624999994,True
M,18.0,3432.75,Low,Working,High skill tech staff,Rural,150518.12,593.94,2.0,751.69,0,Inactive,Semi-Urban,1,176189.93,True
F,34.0,930.65,Low,Working,Laborers,Semi-Urban,147198.51,431.84,2.0,773.41,0,Active,Semi-Urban,1,238443.3,True
M,28.0,2700.65,Low,Commercial associate,Security staff,Semi-Urban,173051.91,651.16,2.0,796.37,0,Inactive,Urban,1,229171.81,True
M,18.0,3717.63,Low,Commercial associate,Not available,Semi-Urban,93989.19,529.53,2.0,865.91,1,Active,Semi-Urban,1,128792.84,True
M,65.0,1395.43,High,Pensioner,Retired,Semi-Urban,19783.44,196.15,1.0,876.71,0,Unpossessed,Semi-Urban,0,31026.35,True
F,57.0,3461.92,Low,Commercial associate,Sales staff,Semi-Urban,45862.65,211.7,2.0,858.09,1,Inactive,Semi-Urban,0,83911.12,True
F,21.0,0.0,Low,Commercial associate,Laborers,Urban,48418.43,364.66,3.0,742.92,0,Unpossessed,Rural,1,59066.38,True
M,29.0,2148.76,Low,Commercial associate,Accountants,Semi-Urban,150107.08,912.1887499999999,2.0,754.07,0,Unpossessed,Rural,1,201308.31,True
F,20.0,1520.58,Low,Working,Core staff,Semi-Urban,43265.19,291.61,2.0,775.44,0,Active,Urban,1,56313.01,True
M,25.0,0.0,Low,Working,Laborers,Rural,7355.33,65.97,4.0,764.57,0,Unpossessed,Urban,1,11129.83,True
M,18.0,2287.55,Low,Working,Laborers,Semi-Urban,157018.93,532.95,3.0,661.46,1,Inactive,Rural,1,254775.45,True
F,30.0,0.0,Low,Working,Laborers,Semi-Urban,183579.85,445.2,2.0,746.13,0,Unpossessed,Rural,1,242901.74,True
M,60.0,2190.05,Low,Commercial associate,Not available,Semi-Urban,46831.18,275.52,2.0,841.47,0,Unpossessed,Urban,1,70012.6,True
M,38.0,0.0,Low,Working,Accountants,Semi-Urban,33134.51,406.76,2.0,676.97,0,Unpossessed,Rural,1,61477.6,True
F,57.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,105992.51,476.22,0.0,692.01,0,Inactive,Rural,1,160905.34,True
F,38.0,3711.62,Low,Working,Laborers,Semi-Urban,195489.02,805.28,2.0,655.51,0,Inactive,Urban,1,260861.55,True
M,50.0,5137.077499999999,Low,Commercial associate,Accountants,Semi-Urban,229826.46625,586.8,2.0,869.35,0,Unpossessed,Semi-Urban,1,342188.40624999994,True
M,18.0,3150.74,Low,Working,Core staff,Semi-Urban,25987.82,0.0,1.0,656.26,0,Active,Urban,1,42415.01,True
F,65.0,2786.75,High,Pensioner,Retired,Rural,55421.8,505.9,2.0,854.23,1,Inactive,Rural,1,67569.75,True
M,18.0,1931.42,Low,Commercial associate,Accountants,Rural,23054.82,0.0,3.0,740.04,0,Inactive,Urban,1,32068.05,True
M,18.0,2945.86,Low,Working,Not available,Semi-Urban,229826.46625,912.1887499999999,2.0,672.61,0,Active,Rural,1,342188.40624999994,True
F,50.0,1693.68,Low,State servant,Core staff,Rural,59866.2,312.29,2.0,664.83,0,Active,Rural,1,79302.34,True
F,18.0,2041.18,Low,Working,Not available,Semi-Urban,125580.78,424.59,3.0,716.06,0,Unpossessed,Semi-Urban,1,143286.08,True
F,43.0,2702.83,Low,Commercial associate,Low-skill Laborers,Semi-Urban,155101.14,556.31,2.0,746.32,0,Unpossessed,Rural,1,280991.56,True
F,64.0,2192.71,Low,State servant,Core staff,Rural,31032.65,395.17,4.0,844.79,0,Unpossessed,Rural,1,48498.75,True
F,18.0,1891.07,Low,Working,Not available,Semi-Urban,87189.24,363.0,2.0,783.69,0,Inactive,Urban,1,164396.03,True
F,43.0,5137.077499999999,Low,Commercial associate,Managers,Urban,225973.78,529.64,4.0,697.05,1,Inactive,Semi-Urban,1,342188.40624999994,True
M,18.0,4656.61,Low,Commercial associate,Managers,Urban,172769.6,803.43,0.0,762.67,0,Inactive,Urban,1,270530.79,True
M,55.0,2703.73,Low,Commercial associate,Security staff,Urban,21738.85,85.3,3.0,713.25,0,Unpossessed,Semi-Urban,1,32393.09,True
M,65.0,2483.64,High,Pensioner,Retired,Rural,75000.55,426.05,3.0,715.04,0,Unpossessed,Semi-Urban,1,93460.01,True
F,20.0,1893.38,Low,Working,Cleaning staff,Semi-Urban,97899.38,366.19,1.0,883.03,0,Unpossessed,Semi-Urban,1,159665.49,True
F,46.0,0.0,Low,Working,Laborers,Semi-Urban,91461.29,272.97,1.0,726.55,0,Active,Rural,1,159624.7,True
F,18.0,1689.44,Low,Commercial associate,Sales staff,Semi-Urban,44243.06,361.52,1.0,806.47,1,Inactive,Rural,1,71678.59,True
M,54.0,0.0,Low,Working,Drivers,Semi-Urban,101097.98,451.3,4.0,740.04,0,Unpossessed,Urban,1,117346.72,True
F,64.0,1136.86,Low,Working,Sales staff,Semi-Urban,51101.5,299.99,4.0,740.04,0,Active,Semi-Urban,1,96707.16,True
M,27.0,0.0,Low,Working,Medicine staff,Semi-Urban,120188.57,402.8,3.0,840.67,0,Inactive,Urban,1,206505.08,True
F,52.0,1025.96,Low,Working,High skill tech staff,Semi-Urban,66595.13,234.48,2.0,787.16,0,Unpossessed,Urban,1,109450.94,True
M,28.0,2403.26,Low,Working,Security staff,Semi-Urban,100089.77,413.04,4.0,722.74,0,Inactive,Rural,1,153171.34,True
M,29.0,3349.27,Low,Working,Not available,Urban,74619.85,401.56,2.0,679.75,0,Active,Rural,1,82164.44,True
M,42.0,2283.59,Low,Working,Not available,Semi-Urban,28326.98,154.0,2.0,716.11,0,Active,Rural,1,35176.1,True
F,23.0,5137.077499999999,Low,Working,Managers,Urban,171409.28,682.67,2.0,699.51,0,Active,Rural,1,262447.6,True
F,62.0,0.0,Low,State servant,Laborers,Rural,91971.91,552.86,3.0,693.2,0,Inactive,Rural,1,148927.71,True
F,53.0,1928.11,Low,Working,Laborers,Semi-Urban,114727.93,838.73,4.0,677.92,1,Inactive,Semi-Urban,1,212078.81,True
F,40.0,1126.8,Low,Working,Laborers,Semi-Urban,27736.44,123.61,2.0,719.23,0,Unpossessed,Urban,1,34673.88,True
M,18.0,4719.14,Low,Working,Managers,Semi-Urban,84193.08,395.88,2.0,657.86,1,Active,Urban,1,148429.59,True
M,63.0,893.81,High,Pensioner,Retired,Urban,111302.43,318.54,2.0,722.72,0,Inactive,Rural,0,202565.64,True
M,18.0,2089.12,Low,Working,Sales staff,Semi-Urban,78264.55,221.36,2.0,668.81,0,Active,Urban,1,123717.08,True
M,28.0,1237.55,Low,Working,Medicine staff,Semi-Urban,88408.08,284.75,2.0,773.16,0,Unpossessed,Urban,1,122559.52,True
M,45.0,0.0,Low,Working,Not available,Semi-Urban,152468.25,487.07,2.0,778.26,0,Inactive,Urban,1,273408.19,True
F,18.0,2397.86,Low,Commercial associate,Laborers,Urban,78396.05,379.29,2.0,748.24,0,Inactive,Urban,1,113712.62,True
F,39.0,3763.37,Low,Working,Not available,Rural,149570.96,512.55,2.0,787.0,0,Active,Urban,1,202538.52,True
M,44.0,1658.55,Low,State servant,Laborers,Rural,72807.97,339.3,4.0,740.04,0,Inactive,Urban,1,102033.81,True
F,49.0,1700.86,Low,State servant,IT staff,Rural,46466.55,153.45,4.0,719.7,0,Unpossessed,Rural,1,71713.61,True
F,41.0,0.0,Low,Working,Laborers,Semi-Urban,113817.62,575.38,1.0,655.67,0,Active,Semi-Urban,1,181548.1,True
F,33.0,936.55,Low,Working,Private service staff,Semi-Urban,26288.39,141.08,0.0,720.73,0,Active,Urban,1,38952.15,True
M,46.0,3438.19,Low,Commercial associate,High skill tech staff,Semi-Urban,201916.53,591.33,2.0,690.31,0,Active,Urban,1,290401.25,True
M,19.0,4768.09,Low,Working,Sales staff,Semi-Urban,24610.01,140.47,2.0,704.62,0,Unpossessed,Rural,1,41143.73,True
F,28.0,1661.54,Low,Commercial associate,Not available,Semi-Urban,65790.78,351.92,1.0,785.31,0,Inactive,Rural,1,89148.98,True
M,53.0,778.47,Low,Commercial associate,Not available,Semi-Urban,27139.89,268.29,1.0,674.07,0,Active,Urban,1,29907.83,True
M,65.0,3172.1,High,Pensioner,Retired,Semi-Urban,115443.51,331.46,2.0,740.04,0,Inactive,Semi-Urban,0,132752.31,True
M,62.0,2119.33,Low,Working,Not available,Semi-Urban,100760.21,468.63,2.0,810.93,0,Inactive,Rural,1,155233.22,True
M,28.0,2224.18,Low,Commercial associate,Sales staff,Semi-Urban,65919.68,310.91,3.0,713.97,0,Unpossessed,Semi-Urban,1,90646.7,True
F,54.0,5137.077499999999,Low,Working,Managers,Semi-Urban,133531.81,535.77,1.0,861.21,1,Active,Urban,1,170214.99,True
M,44.0,1511.72,Low,Working,Laborers,Semi-Urban,167404.24,460.24,2.0,722.14,1,Inactive,Rural,1,215549.36,True
M,18.0,1022.01,Low,Working,Core staff,Semi-Urban,39691.61,216.23,1.0,683.14,0,Unpossessed,Semi-Urban,1,45354.63,True
M,65.0,1083.76,High,Pensioner,Retired,Semi-Urban,40540.19,251.11,2.0,879.03,0,Unpossessed,Rural,0,51001.35,True
M,20.0,3123.19,Low,Working,Core staff,Semi-Urban,68686.8,195.84,3.0,674.38,1,Active,Semi-Urban,1,121945.45,True
F,62.0,1012.58,High,Pensioner,Retired,Rural,193014.52,555.74,2.0,859.41,0,Active,Semi-Urban,1,325923.87,True
M,59.0,2196.03,Low,Working,Accountants,Rural,93322.43,364.0,2.0,794.74,0,Unpossessed,Urban,1,140003.77,True
F,39.0,1673.6,Low,Working,Sales staff,Semi-Urban,62727.69,318.21,0.0,715.48,0,Active,Urban,1,87149.99,True
M,63.0,4243.16,Low,Working,Managers,Semi-Urban,229826.46625,743.88,3.0,791.81,0,Active,Rural,1,342188.40624999994,True
M,36.0,1812.37,Low,Working,Sales staff,Rural,18714.31,122.81,1.0,771.01,0,Active,Semi-Urban,1,21973.7,True
M,34.0,1452.08,Low,Working,High skill tech staff,Semi-Urban,43282.6,141.33,2.0,772.92,0,Unpossessed,Semi-Urban,1,74507.18,True
F,49.0,0.0,Low,Working,Not available,Rural,118781.13,654.36,4.0,696.17,0,Active,Semi-Urban,1,205874.14,True
F,18.0,0.0,Low,Commercial associate,Medicine staff,Semi-Urban,15543.09,205.12,2.0,698.75,0,Unpossessed,Urban,1,22509.04,True
F,65.0,821.21,High,Pensioner,Retired,Semi-Urban,40873.62,183.35,2.0,834.49,0,Unpossessed,Rural,0,47732.84,True
M,62.0,0.0,Low,Commercial associate,Accountants,Semi-Urban,229826.46625,623.6,0.0,853.5,0,Inactive,Urban,1,342188.40624999994,True
F,29.0,4304.68,Low,Working,Accountants,Semi-Urban,149541.9,391.42,3.0,759.36,1,Inactive,Rural,1,247715.74,True
F,28.0,2994.03,Low,Working,Managers,Rural,91212.79,488.42,0.0,660.28,0,Unpossessed,Urban,1,104613.03,True
F,35.0,3834.34,Low,State servant,Secretaries,Rural,159587.4,834.72,1.0,725.22,0,Inactive,Semi-Urban,1,301686.41,True
M,21.0,2105.8,Low,Working,High skill tech staff,Semi-Urban,61866.59,340.72,2.0,765.75,0,Inactive,Semi-Urban,1,115194.34,True
M,63.0,1007.61,High,Pensioner,Retired,Semi-Urban,75443.97,326.41,2.0,744.4,0,Active,Semi-Urban,1,109095.08,True
F,26.0,1531.3,Low,Working,Sales staff,Semi-Urban,32496.59,153.09,1.0,734.23,0,Active,Rural,1,50587.58,True
F,18.0,5137.077499999999,Low,State servant,Cooking staff,Semi-Urban,40315.81,270.75,2.0,673.15,0,Unpossessed,Urban,1,53768.42,True
F,65.0,1806.13,Low,Pensioner,Retired,Semi-Urban,143183.58,672.76,2.0,854.28,0,Unpossessed,Semi-Urban,0,214094.89,True
F,57.0,1984.8,Low,Working,Managers,Semi-Urban,54829.96,413.07,5.0,712.74,0,Inactive,Semi-Urban,1,71452.32,True
M,56.0,1430.18,Low,Working,Core staff,Rural,148642.97,451.23,0.0,740.04,0,Active,Urban,1,268676.55,True
F,63.0,2447.55,High,Pensioner,Retired,Rural,96533.37,278.03,2.0,864.87,0,Inactive,Urban,0,107288.93,True
M,65.0,1613.16,High,Pensioner,Retired,Rural,32007.56,153.37,1.0,805.09,0,Inactive,Semi-Urban,1,41189.29,True
