Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
F,63.0,2493.61,High,Pensioner,Retired,Semi-Urban,96407.33,437.32,1.0,765.64,0,Inactive,Rural,1,110703.92,True
M,18.0,0.0,Low,Working,Not available,Semi-Urban,97772.89,735.91,2.0,727.15,0,Inactive,Urban,1,179594.22,True
M,65.0,2330.76,Low,Pensioner,Retired,Urban,70015.38,302.54,2.0,853.67,0,Unpossessed,Urban,0,107495.76,True
M,54.0,2995.8,Low,Working,Laborers,Semi-Urban,82276.58,383.73,2.0,735.65,1,Inactive,Rural,1,100978.77,True
M,38.0,1704.94,Low,Commercial associate,Laborers,Semi-Urban,73784.92,424.1,3.0,662.02,0,Active,Rural,1,94679.59,True
F,32.0,1299.88,Low,Working,Laborers,Rural,23551.92,231.35,2.0,657.82,0,Inactive,Rural,1,36376.25,True
M,18.0,0.0,Low,State servant,Not available,Urban,118641.88,420.25,2.0,765.32,0,Active,Rural,1,133375.28,True
F,21.0,4225.8,Low,Commercial associate,Managers,Semi-Urban,209066.55,803.76,4.0,696.02,0,Active,Urban,1,248524.76,True
F,39.0,2118.83,Low,Working,Laborers,Rural,122113.55,685.09,2.0,663.1,0,Unpossessed,Rural,1,170037.55,True
M,26.0,1247.97,Low,Working,IT staff,Rural,117415.85,324.92,2.0,794.58,0,Inactive,Urban,1,219463.23,True
F,62.0,1923.69,Low,Working,Sales staff,Semi-Urban,128515.33,386.13,2.0,699.44,1,Unpossessed,Semi-Urban,1,218934.38,True
F,18.0,2229.66,Low,State servant,Core staff,Semi-Urban,92926.9,218.49,5.0,779.25,1,Active,Semi-Urban,1,172992.77,True
M,65.0,1740.46,High,Pensioner,Retired,Semi-Urban,52890.77,221.7,0.0,840.31,1,Inactive,Rural,1,69408.15,True
M,65.0,1821.81,High,Pensioner,Retired,Semi-Urban,90235.49,291.72,0.0,786.53,0,Inactive,Semi-Urban,1,146942.83,True
F,20.0,2578.54,Low,Working,Not available,Semi-Urban,41374.89,416.34,2.0,712.69,0,Unpossessed,Semi-Urban,1,67301.56,True
F,43.0,2847.39,Low,Working,Laborers,Semi-Urban,230665.075,659.89,2.0,772.02,1,Active,Semi-Urban,1,271517.02,True
F,54.0,1691.41,Low,Commercial associate,Not available,Semi-Urban,37687.64,190.3,2.0,729.78,0,Active,Semi-Urban,1,56790.24,True
F,50.0,1517.14,Low,Working,High skill tech staff,Semi-Urban,26455.2,291.76,4.0,772.02,0,Active,Semi-Urban,1,34966.07,True
F,37.0,5167.51125,Low,Commercial associate,Accountants,Semi-Urban,230665.075,673.86,2.0,819.52,0,Unpossessed,Semi-Urban,1,344891.6775,True
F,35.0,5167.51125,Low,Commercial associate,Accountants,Semi-Urban,35016.23,171.96,3.0,764.38,0,Active,Rural,1,65052.48,True
F,24.0,2389.97,Low,Working,Cooking staff,Semi-Urban,167905.17,468.56,1.0,740.3,1,Active,Semi-Urban,1,314055.34,True
M,27.0,2949.93,Low,Working,Laborers,Urban,54106.12,0.0,1.0,793.57,0,Inactive,Semi-Urban,1,73210.58,True
M,42.0,1930.63,Low,Working,Not available,Semi-Urban,71098.22,457.73,3.0,767.22,1,Inactive,Semi-Urban,1,87280.01,True
M,63.0,1035.82,Low,Working,Security staff,Semi-Urban,115652.25,323.4,2.0,740.04,0,Unpossessed,Urban,1,155945.57,True
F,46.0,3526.15,Low,Working,Managers,Semi-Urban,230665.075,920.3712499999999,2.0,709.05,0,Unpossessed,Semi-Urban,1,344891.6775,True
F,37.0,2173.06,Low,Working,Cooking staff,Semi-Urban,179727.43,709.02,4.0,740.04,0,Inactive,Semi-Urban,1,312012.13,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,35208.41,230.21,1.0,823.12,0,Unpossessed,Semi-Urban,1,65830.93,True
F,35.0,2997.47,Low,Commercial associate,Core staff,Semi-Urban,145042.55,707.83,1.0,806.74,0,Active,Urban,1,207846.98,True
M,28.0,2224.18,Low,Commercial associate,Sales staff,Semi-Urban,65919.68,310.91,3.0,713.97,0,Unpossessed,Semi-Urban,1,90646.7,True
F,58.0,1048.63,Low,Working,Sales staff,Semi-Urban,65107.67,296.19,2.0,714.02,0,Inactive,Rural,1,114243.41,True
M,22.0,1817.45,Low,Working,Not available,Semi-Urban,28238.17,175.71,1.0,827.15,0,Inactive,Rural,1,44239.95,True
M,34.0,4030.64,Low,Commercial associate,Accountants,Rural,164891.0,699.14,2.0,650.98,0,Inactive,Semi-Urban,1,258142.5,True
F,60.0,2599.35,Low,Working,Not available,Urban,119975.4,528.04,4.0,834.82,0,Inactive,Semi-Urban,1,144184.16,True
M,61.0,1352.55,High,Pensioner,Retired,Rural,26140.97,202.03,2.0,833.77,0,Unpossessed,Semi-Urban,1,36501.87,True
F,64.0,4102.09,Low,Working,Sales staff,Urban,61678.45,312.54,0.0,751.96,0,Active,Semi-Urban,1,77612.82,True
M,20.0,2077.68,Low,Working,Sales staff,Urban,60884.63,290.91,4.0,752.44,0,Inactive,Semi-Urban,1,76907.31,True
F,18.0,1930.48,Low,Working,Laborers,Semi-Urban,59534.61,180.76,2.0,698.74,1,Active,Urban,1,67216.58,True
F,56.0,3422.31,Low,Working,Medicine staff,Semi-Urban,41972.62,205.32,3.0,687.34,0,Active,Urban,1,55485.89,True
F,57.0,1638.55,Low,Working,Laborers,Semi-Urban,25150.82,132.5,2.0,760.44,0,Inactive,Rural,1,29908.44,True
F,37.0,1946.61,Low,Commercial associate,Laborers,Semi-Urban,72980.36,476.44,2.0,756.71,0,Inactive,Semi-Urban,1,117913.98,True
M,28.0,0.0,Low,Working,Laborers,Semi-Urban,55605.64,273.92,1.0,750.64,0,Inactive,Rural,1,75323.14,True
F,62.0,2076.43,Low,Working,Not available,Semi-Urban,41910.46,199.7,2.0,817.98,1,Active,Semi-Urban,1,73892.92,True
M,18.0,3305.72,Low,Working,Not available,Semi-Urban,142779.25,444.47,2.0,690.62,0,Inactive,Urban,1,175944.44,True
M,60.0,2103.86,Low,State servant,Core staff,Semi-Urban,28032.27,125.66,2.0,664.6,0,Active,Rural,1,32242.52,True
M,27.0,3317.58,Low,Commercial associate,Drivers,Semi-Urban,147219.36,763.05,1.0,711.17,1,Active,Semi-Urban,1,215917.11,True
M,58.0,3307.79,Low,Working,High skill tech staff,Semi-Urban,33444.76,183.53,1.0,694.54,0,Active,Semi-Urban,1,37001.88,True
M,35.0,2537.51,Low,Working,Accountants,Semi-Urban,71954.63,386.65,2.0,723.56,1,Unpossessed,Semi-Urban,1,103358.75,True
F,49.0,2454.63,Low,Working,Sales staff,Semi-Urban,114956.88,539.19,2.0,727.58,0,Inactive,Semi-Urban,1,127020.04,True
M,50.0,0.0,Low,Commercial associate,Not available,Semi-Urban,68939.42,702.88,2.0,820.51,0,Unpossessed,Urban,1,101003.53,True
F,57.0,5167.51125,Low,Commercial associate,Managers,Urban,137243.3,687.59,2.0,805.93,0,Unpossessed,Urban,1,182277.63,True
F,18.0,1663.72,Low,Commercial associate,Drivers,Rural,22092.77,184.66,1.0,751.98,0,Unpossessed,Semi-Urban,1,28967.47,True
F,18.0,4152.12,Low,Commercial associate,Not available,Semi-Urban,110412.93,531.02,5.0,740.04,0,Unpossessed,Rural,1,131779.87,True
F,61.0,4716.25,Low,Working,High skill tech staff,Semi-Urban,202297.12,797.05,2.0,743.01,0,Active,Semi-Urban,1,280560.66,True
F,41.0,1684.64,Low,Commercial associate,Sales staff,Urban,110549.47,383.91,0.0,760.75,0,Active,Urban,1,157443.19,True
F,56.0,4010.74,Low,State servant,Core staff,Semi-Urban,120733.29,508.94,2.0,768.57,0,Inactive,Semi-Urban,1,209493.46,True
M,36.0,0.0,Low,Commercial associate,Accountants,Semi-Urban,73603.2,461.32,2.0,844.75,1,Inactive,Rural,1,112301.01,True
M,57.0,1084.17,Low,Working,Laborers,Rural,194956.01,523.75,0.0,740.04,1,Inactive,Semi-Urban,1,277161.2,True
F,28.0,0.0,Low,Working,Core staff,Semi-Urban,46077.38,399.14,2.0,705.03,1,Active,Semi-Urban,1,85724.88,True
F,26.0,2979.95,Low,Commercial associate,High skill tech staff,Rural,144094.76,484.83,2.0,859.82,1,Inactive,Semi-Urban,0,258268.04,True
F,43.0,2005.59,Low,Working,Sales staff,Semi-Urban,60795.02,422.21,2.0,784.54,0,Active,Semi-Urban,1,90117.22,True
M,47.0,1410.77,Low,Working,Medicine staff,Semi-Urban,26235.95,136.37,2.0,668.55,0,Unpossessed,Urban,1,36550.14,True
F,53.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,92161.89,459.69,2.0,669.88,0,Active,Rural,1,138491.37,True
F,18.0,3351.98,Low,Working,Not available,Semi-Urban,133662.16,420.03,2.0,662.38,0,Unpossessed,Semi-Urban,1,183328.08,True
F,27.0,3486.32,Low,Working,Not available,Rural,164499.98,783.47,3.0,832.12,0,Inactive,Urban,1,202445.96,True
M,38.0,3477.14,Low,Working,Managers,Semi-Urban,96668.97,471.27,2.0,822.01,0,Active,Urban,1,113796.46,True
F,48.0,3731.22,Low,Working,Sales staff,Semi-Urban,24603.52,134.76,3.0,799.56,0,Inactive,Urban,1,45478.71,True
M,52.0,2232.79,Low,Working,Managers,Semi-Urban,167498.95,769.96,2.0,856.95,0,Inactive,Urban,1,252285.23,True
M,35.0,3484.12,Low,Working,Managers,Semi-Urban,69090.19,282.91,2.0,814.8,0,Active,Semi-Urban,1,78290.55,True
M,38.0,3194.39,Low,Commercial associate,Laborers,Semi-Urban,185462.87,729.03,1.0,675.66,0,Inactive,Semi-Urban,1,308714.21,True
F,51.0,2455.37,Low,Working,Laborers,Semi-Urban,46791.43,251.62,1.0,656.27,0,Unpossessed,Semi-Urban,1,80237.1,True
F,30.0,4001.06,Low,Working,Drivers,Semi-Urban,84258.83,405.02,0.0,740.04,0,Active,Rural,1,127571.53,True
F,59.0,2582.16,Low,State servant,Core staff,Semi-Urban,45293.63,177.64,1.0,738.49,0,Unpossessed,Semi-Urban,1,82886.97,True
M,62.0,1755.93,Low,Working,Core staff,Semi-Urban,9817.74,108.54,2.0,740.04,0,Active,Urban,1,12308.62,True
M,30.0,1985.06,Low,Working,Laborers,Semi-Urban,151296.07,535.64,2.0,678.11,0,Inactive,Urban,1,244542.17,True
M,45.0,3152.12,Low,Commercial associate,Sales staff,Semi-Urban,115973.82,729.03,2.0,678.02,0,Active,Rural,1,193253.02,True
F,62.0,2308.61,Low,State servant,Managers,Semi-Urban,37883.07,393.79,1.0,809.43,0,Unpossessed,Semi-Urban,1,46609.95,True
M,45.0,1751.12,Low,Working,Core staff,Rural,61803.91,335.29,2.0,685.48,1,Inactive,Rural,1,89127.74,True
M,40.0,2172.59,Low,Working,Not available,Semi-Urban,161228.29,489.59,0.0,678.48,0,Active,Urban,1,192740.97,True
F,40.0,1246.37,Low,Commercial associate,Sales staff,Semi-Urban,59228.63,288.64,2.0,720.11,1,Inactive,Rural,1,78598.89,True
M,18.0,1586.39,Low,Working,Secretaries,Semi-Urban,45500.4,305.86,2.0,773.74,0,Inactive,Semi-Urban,1,57372.49,True
M,43.0,1006.94,Low,Working,Not available,Semi-Urban,42537.23,223.38,0.0,860.63,0,Active,Urban,1,51317.98,True
M,37.0,0.0,Low,Working,High skill tech staff,Semi-Urban,91398.38,494.9,3.0,798.84,1,Active,Urban,1,131673.34,True
M,52.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,112307.54,539.09,1.0,706.42,0,Active,Rural,1,157866.23,True
M,46.0,1991.29,Low,Working,Secretaries,Semi-Urban,168448.85,430.93,4.0,676.86,0,Active,Semi-Urban,1,256076.67,True
F,34.0,1290.17,Low,Commercial associate,Core staff,Semi-Urban,87170.97,535.66,1.0,757.42,1,Active,Semi-Urban,1,141989.39,True
M,51.0,5167.51125,Low,State servant,Core staff,Urban,132956.51,0.0,2.0,773.26,0,Inactive,Rural,1,183951.27,True
M,20.0,0.0,Low,Working,Not available,Urban,165936.02,443.06,4.0,740.04,0,Inactive,Rural,1,285597.42,True
F,65.0,2119.33,High,Pensioner,Retired,Semi-Urban,62590.98,270.89,2.0,810.93,0,Unpossessed,Urban,0,73053.83,True
M,43.0,2937.34,Low,Working,Private service staff,Semi-Urban,44784.24,332.44,3.0,692.32,0,Inactive,Semi-Urban,1,75084.49,True
M,43.0,3221.04,Low,Working,Managers,Semi-Urban,60129.73,383.94,3.0,701.96,0,Active,Urban,1,103561.92,True
M,56.0,1017.09,Low,Working,Sales staff,Semi-Urban,100784.05,326.93,0.0,746.42,0,Active,Rural,1,159092.68,True
F,61.0,3917.56,Low,Commercial associate,Managers,Rural,215553.46,743.17,2.0,825.18,0,Active,Urban,1,244529.49,True
M,48.0,1758.76,Low,Commercial associate,Laborers,Rural,115637.41,578.4,0.0,730.91,0,Unpossessed,Urban,1,207723.84,True
M,26.0,2069.68,Low,Commercial associate,Managers,Semi-Urban,28128.56,125.34,2.0,774.81,0,Inactive,Semi-Urban,1,48362.64,True
M,18.0,0.0,Low,Working,Not available,Semi-Urban,66532.84,327.33,2.0,830.03,1,Unpossessed,Semi-Urban,1,94977.63,True
F,22.0,0.0,Low,Working,Drivers,Semi-Urban,17811.41,195.81,0.0,781.88,0,Active,Semi-Urban,1,27197.84,True
F,51.0,3478.43,Low,Working,Drivers,Semi-Urban,37375.63,399.67,1.0,653.02,1,Unpossessed,Semi-Urban,1,64751.27,True
M,64.0,0.0,Low,Working,Sales staff,Semi-Urban,76128.17,459.97,2.0,812.1,0,Inactive,Rural,1,109868.97,True
M,46.0,2216.19,Low,Commercial associate,Core staff,Semi-Urban,19607.61,99.49,1.0,705.31,0,Active,Semi-Urban,1,33751.31,True
F,61.0,0.0,Low,Commercial associate,Managers,Semi-Urban,140841.89,368.24,3.0,656.33,0,Active,Semi-Urban,1,164378.74,True
M,65.0,2897.76,High,Pensioner,Retired,Rural,230665.075,697.69,0.0,785.91,0,Unpossessed,Semi-Urban,1,344891.6775,True
M,48.0,1868.54,Low,Working,Managers,Urban,127768.92,376.68,2.0,807.37,0,Active,Rural,1,159468.04,True
M,31.0,2462.27,Low,Working,Laborers,Semi-Urban,75136.5,361.39,3.0,682.76,0,Unpossessed,Semi-Urban,1,118330.95,True
F,18.0,1646.17,Low,Commercial associate,Accountants,Semi-Urban,56040.1,409.68,2.0,705.58,0,Inactive,Rural,1,88295.5,True
F,21.0,2024.45,Low,Working,Not available,Urban,81452.33,631.29,2.0,695.69,1,Inactive,Rural,1,103376.91,True
F,18.0,2394.2,Low,Working,Core staff,Semi-Urban,59138.38,309.67,1.0,711.31,1,Active,Semi-Urban,1,96451.0,True
F,18.0,1751.56,Low,Working,Not available,Semi-Urban,69385.02,385.01,2.0,831.05,0,Unpossessed,Rural,1,91691.95,True
M,30.0,3967.09,Low,Working,High skill tech staff,Semi-Urban,175654.45,730.28,0.0,718.28,1,Active,Rural,1,198852.89,True
M,39.0,3381.93,Low,Commercial associate,Core staff,Semi-Urban,157397.63,427.61,3.0,861.58,1,Active,Semi-Urban,1,292712.97,True
F,64.0,3810.17,Low,Working,Laborers,Semi-Urban,172214.53,699.01,4.0,681.28,1,Inactive,Urban,1,285196.25,True
M,48.0,1678.09,Low,Working,Laborers,Semi-Urban,37662.62,426.44,2.0,727.29,0,Unpossessed,Rural,1,64136.75,True
F,40.0,1059.86,Low,Working,Not available,Semi-Urban,25415.86,124.19,0.0,657.43,0,Inactive,Rural,1,29121.38,True
M,55.0,2060.35,Low,Working,Security staff,Semi-Urban,21104.23,232.38,2.0,720.82,0,Inactive,Urban,1,25299.6,True
M,61.0,2045.45,High,Pensioner,Retired,Semi-Urban,105075.67,388.42,1.0,896.26,0,Active,Urban,0,181330.45,True
M,55.0,1273.46,Low,Working,Drivers,Semi-Urban,56239.56,413.39,2.0,705.31,1,Inactive,Semi-Urban,1,84817.66,True
M,45.0,0.0,Low,State servant,Managers,Semi-Urban,139387.9,468.77,2.0,694.02,1,Unpossessed,Urban,1,182867.59,True
M,40.0,4770.52,Low,Commercial associate,Not available,Semi-Urban,111966.78,486.17,2.0,765.81,1,Unpossessed,Rural,1,148784.98,True
F,18.0,1736.29,Low,Commercial associate,Secretaries,Semi-Urban,77045.12,542.72,0.0,772.52,0,Unpossessed,Rural,1,124065.37,True
M,60.0,2647.8,High,Pensioner,Retired,Semi-Urban,24033.32,245.09,1.0,773.38,1,Inactive,Urban,1,38709.61,True
F,41.0,2561.28,Low,Working,High skill tech staff,Semi-Urban,152141.37,484.15,1.0,740.04,0,Unpossessed,Rural,1,268834.96,True
M,63.0,3173.01,Low,Working,Laborers,Semi-Urban,24072.4,193.0,3.0,696.43,0,Unpossessed,Urban,1,29664.96,True
F,54.0,0.0,Low,Working,Not available,Semi-Urban,103807.25,437.48,3.0,703.21,0,Inactive,Urban,1,164477.33,True
F,53.0,1213.13,Low,Working,Not available,Semi-Urban,34485.52,160.8,2.0,678.38,1,Active,Semi-Urban,1,58258.69,True
M,65.0,1508.6,High,Pensioner,Retired,Urban,78107.57,462.11,2.0,679.66,0,Active,Rural,1,133026.57,True
M,60.0,0.0,Low,Commercial associate,Drivers,Semi-Urban,68429.36,716.82,0.0,824.86,0,Active,Semi-Urban,1,89961.67,True
F,18.0,1766.76,Low,Commercial associate,Security staff,Urban,136063.23,617.62,0.0,749.38,1,Unpossessed,Semi-Urban,1,257725.06,True
F,62.0,0.0,Low,Working,Not available,Rural,34349.0,138.32,4.0,820.11,0,Unpossessed,Semi-Urban,1,47156.11,True
M,65.0,2611.39,High,Pensioner,Retired,Semi-Urban,109334.71,292.55,1.0,831.25,1,Active,Semi-Urban,1,173905.18,True
F,41.0,2740.34,Low,State servant,Laborers,Urban,203187.41,614.89,3.0,763.28,0,Unpossessed,Urban,1,344891.6775,True
M,20.0,0.0,Low,Working,Core staff,Semi-Urban,19105.42,155.43,2.0,851.39,0,Active,Semi-Urban,1,34290.12,True
M,27.0,3486.83,Low,Working,Managers,Semi-Urban,38587.3,226.05,2.0,710.19,0,Inactive,Semi-Urban,1,50412.69,True
M,52.0,1652.64,Low,Working,Laborers,Semi-Urban,33191.09,342.2,2.0,718.66,0,Inactive,Semi-Urban,1,44294.52,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,39071.72,189.5,2.0,789.28,0,Active,Semi-Urban,0,52781.62,True
M,57.0,2345.35,Low,Commercial associate,Core staff,Semi-Urban,185388.51,576.23,2.0,728.0,0,Unpossessed,Urban,1,207448.0,True
M,63.0,1692.41,Low,Pensioner,Retired,Semi-Urban,31785.51,129.13,1.0,714.75,0,Unpossessed,Urban,0,51303.81,True
M,43.0,0.0,Low,Working,Managers,Semi-Urban,33801.13,251.22,4.0,780.37,0,Unpossessed,Urban,1,60984.42,True
M,61.0,0.0,High,Pensioner,Retired,Semi-Urban,56118.18,282.28,1.0,844.96,0,Unpossessed,Semi-Urban,1,87648.72,True
M,18.0,2603.64,Low,Commercial associate,Not available,Urban,176006.58,920.3712499999999,2.0,830.81,0,Active,Semi-Urban,1,271630.95,True
M,50.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,88039.06,303.4,1.0,680.33,0,Active,Rural,1,142498.32,True
F,65.0,1329.36,High,Pensioner,Retired,Semi-Urban,43161.72,140.1,2.0,851.39,0,Active,Rural,0,51099.7,True
F,51.0,2101.96,Low,Working,Medicine staff,Semi-Urban,91995.42,343.37,0.0,749.81,1,Active,Urban,1,103474.88,True
F,18.0,2400.26,Low,Commercial associate,Laborers,Semi-Urban,63589.66,507.21,1.0,809.45,0,Active,Semi-Urban,1,91711.98,True
F,38.0,3308.06,Low,Working,Sales staff,Rural,59538.49,301.61,4.0,732.3,1,Inactive,Rural,1,108377.18,True
M,59.0,0.0,Low,Working,Private service staff,Semi-Urban,93103.78,303.07,2.0,823.76,0,Active,Rural,1,151511.85,True
M,38.0,5167.51125,Low,Commercial associate,Core staff,Semi-Urban,108106.44,476.85,2.0,673.34,0,Inactive,Urban,1,137296.14,True
F,56.0,0.0,Low,Working,Accountants,Semi-Urban,21211.29,243.33,4.0,720.18,0,Inactive,Rural,1,34670.14,True
F,46.0,3667.77,Low,Commercial associate,Not available,Urban,130135.57,448.02,2.0,750.12,0,Unpossessed,Rural,1,212905.01,True
M,38.0,1673.82,Low,Commercial associate,Managers,Semi-Urban,55777.86,295.82,2.0,760.57,0,Unpossessed,Semi-Urban,1,100290.11,True
M,62.0,1743.72,High,Pensioner,Retired,Rural,171153.73,0.0,2.0,789.23,0,Unpossessed,Urban,0,245845.25,True
M,21.0,2857.89,Low,Working,Laborers,Semi-Urban,80343.02,347.78,2.0,695.6,1,Unpossessed,Semi-Urban,1,124950.1,True
F,54.0,1911.35,Low,Working,Managers,Rural,38809.63,208.38,1.0,770.65,1,Unpossessed,Rural,1,64129.52,True
M,36.0,0.0,Low,Commercial associate,Core staff,Urban,61736.57,312.49,3.0,742.08,1,Active,Urban,1,68206.88,True
F,43.0,5148.51,Low,Working,Not available,Semi-Urban,230665.075,775.14,2.0,786.72,0,Unpossessed,Rural,1,344891.6775,True
M,28.0,931.22,Low,Working,Medicine staff,Semi-Urban,23694.46,241.14,2.0,817.81,0,Active,Rural,1,40696.95,True
F,40.0,1609.12,Low,Working,Core staff,Semi-Urban,49309.42,245.24,1.0,740.04,1,Inactive,Urban,1,82179.65,True
M,43.0,2014.87,Low,State servant,Managers,Semi-Urban,6310.26,61.33,2.0,726.5,0,Inactive,Rural,1,8012.24,True
F,19.0,2034.07,Low,Working,Laborers,Rural,207823.19,649.2,2.0,726.9,0,Active,Rural,1,338697.53,True
M,56.0,3178.31,Low,Working,Not available,Semi-Urban,100210.15,562.55,0.0,683.37,0,Inactive,Urban,1,147334.13,True
M,53.0,0.0,Low,Commercial associate,Not available,Semi-Urban,39771.12,398.29,3.0,655.38,1,Unpossessed,Urban,1,46916.54,True
F,65.0,1408.12,High,Pensioner,Retired,Semi-Urban,39591.26,189.56,0.0,800.79,0,Active,Urban,1,62902.86,True
F,31.0,0.0,Low,Commercial associate,Managers,Rural,227563.49,739.64,2.0,749.65,0,Unpossessed,Rural,1,279469.83,True
F,38.0,558.74,Low,Working,Cleaning staff,Semi-Urban,17026.91,118.34,3.0,759.09,0,Inactive,Rural,1,20791.68,True
F,35.0,1569.25,Low,Working,Laborers,Semi-Urban,152846.02,701.14,2.0,771.82,0,Inactive,Rural,1,265995.38,True
F,41.0,1882.36,Low,Working,Sales staff,Semi-Urban,62877.73,297.13,3.0,779.99,0,Inactive,Semi-Urban,1,116509.96,True
F,48.0,2548.32,Low,Commercial associate,Sales staff,Semi-Urban,109190.53,920.3712499999999,0.0,759.49,1,Active,Rural,1,192977.16,True
F,31.0,1967.25,Low,State servant,Core staff,Semi-Urban,62443.63,456.51,2.0,765.62,0,Unpossessed,Rural,1,102711.0,True
M,64.0,0.0,High,Pensioner,Retired,Semi-Urban,108753.28,393.12,1.0,822.1,1,Unpossessed,Semi-Urban,1,187094.29,True
M,53.0,2119.56,Low,Working,Not available,Semi-Urban,118658.22,468.41,2.0,766.07,1,Active,Rural,1,207058.21,True
F,18.0,4013.53,Low,Working,Laborers,Semi-Urban,125294.02,409.11,0.0,720.25,0,Active,Semi-Urban,1,159175.06,True
M,30.0,0.0,Low,Working,Not available,Semi-Urban,139496.58,662.44,2.0,851.39,1,Active,Urban,1,173046.59,True
M,47.0,2415.84,Low,Working,Medicine staff,Semi-Urban,157385.57,540.43,4.0,713.49,0,Inactive,Urban,1,287329.98,True
M,64.0,3458.22,High,Pensioner,Retired,Semi-Urban,94730.27,381.73,0.0,743.42,0,Unpossessed,Urban,1,170467.5,True
M,18.0,0.0,Low,Commercial associate,Managers,Urban,230665.075,811.54,2.0,740.04,0,Active,Semi-Urban,1,344891.6775,True
F,52.0,0.0,Low,Commercial associate,Core staff,Urban,78592.03,421.04,2.0,809.76,0,Inactive,Urban,1,98004.17,True
F,40.0,2277.29,Low,Working,Drivers,Semi-Urban,122500.94,401.28,3.0,717.04,1,Active,Semi-Urban,1,184303.19,True
M,18.0,2830.76,Low,Commercial associate,Not available,Semi-Urban,88821.13,433.08,3.0,677.75,1,Active,Urban,1,120088.23,True
F,50.0,2055.96,Low,Working,Not available,Semi-Urban,55976.46,281.04,2.0,697.0,0,Inactive,Urban,1,97453.22,True
